zone_name,geometry
zona_075,"POLYGON((-76.82988180821721 -12.218881588078172, -76.83447747337145 -12.211101985097716, -76.84366880367993 -12.211101985097716, -76.84826446883417 -12.218881588078172, -76.84366880367993 -12.226661191058628, -76.83447747337145 -12.226661191058628, -76.82988180821721 -12.218881588078172))"
zona_076,"POLYGON((-77.16080920983447 -12.20332238211726, -77.16540460491724 -12.195542779136805, -77.17459539508276 -12.195542779136805, -77.17919079016553 -12.20332238211726, -77.17459539508276 -12.211101985097716, -77.16540460491724 -12.211101985097716, -77.16080920983447 -12.20332238211726))"
zona_077,"POLYGON((-77.1470208603999 -12.195542779136803, -77.1516161205859 -12.187763176156347, -77.16080664095792 -12.187763176156347, -77.16540190114391 -12.195542779136803, -77.16080664095792 -12.203322382117259, -77.1516161205859 -12.203322382117259, -77.1470208603999 -12.195542779136803))"
zona_078,"POLYGON((-77.13323197137828 -12.20332238211726, -77.13782736646105 -12.195542779136805, -77.14701815662657 -12.195542779136805, -77.15161355170935 -12.20332238211726, -77.14701815662657 -12.211101985097716, -77.13782736646105 -12.211101985097716, -77.13323197137828 -12.20332238211726))"
zona_079,"POLYGON((-77.11944362194372 -12.195542779136803, -77.12403888212971 -12.187763176156347, -77.13322940250173 -12.187763176156347, -77.13782466268772 -12.195542779136803, -77.13322940250173 -12.203322382117259, -77.12403888212971 -12.203322382117259, -77.11944362194372 -12.195542779136803))"
zona_080,"POLYGON((-77.10565473292208 -12.20332238211726, -77.11025012800485 -12.195542779136805, -77.11944091817037 -12.195542779136805, -77.12403631325314 -12.20332238211726, -77.11944091817037 -12.211101985097716, -77.11025012800485 -12.211101985097716, -77.10565473292208 -12.20332238211726))"
zona_081,"POLYGON((-77.09186638348751 -12.195542779136803, -77.0964616436735 -12.187763176156347, -77.10565216404552 -12.187763176156347, -77.11024742423152 -12.195542779136803, -77.10565216404552 -12.203322382117259, -77.0964616436735 -12.203322382117259, -77.09186638348751 -12.195542779136803))"
zona_082,"POLYGON((-77.07807749446589 -12.20332238211726, -77.08267288954866 -12.195542779136805, -77.09186367971418 -12.195542779136805, -77.09645907479695 -12.20332238211726, -77.09186367971418 -12.211101985097716, -77.08267288954866 -12.211101985097716, -77.07807749446589 -12.20332238211726))"
zona_083,"POLYGON((-77.06428914503132 -12.195542779136803, -77.06888440521732 -12.187763176156347, -77.07807492558933 -12.187763176156347, -77.08267018577533 -12.195542779136803, -77.07807492558933 -12.203322382117259, -77.06888440521732 -12.203322382117259, -77.06428914503132 -12.195542779136803))"
zona_084,"POLYGON((-77.0505002560097 -12.20332238211726, -77.05509565109247 -12.195542779136805, -77.06428644125799 -12.195542779136805, -77.06888183634076 -12.20332238211726, -77.06428644125799 -12.211101985097716, -77.05509565109247 -12.211101985097716, -77.0505002560097 -12.20332238211726))"
zona_085,"POLYGON((-77.03671190657514 -12.195542779136803, -77.04130716676113 -12.187763176156347, -77.05049768713315 -12.187763176156347, -77.05509294731914 -12.195542779136803, -77.05049768713315 -12.203322382117259, -77.04130716676113 -12.203322382117259, -77.03671190657514 -12.195542779136803))"
zona_086,"POLYGON((-77.02292301755351 -12.20332238211726, -77.02751841263628 -12.195542779136805, -77.0367092028018 -12.195542779136805, -77.04130459788458 -12.20332238211726, -77.0367092028018 -12.211101985097716, -77.02751841263628 -12.211101985097716, -77.02292301755351 -12.20332238211726))"
zona_087,"POLYGON((-77.00913466811893 -12.195542779136803, -77.01372992830493 -12.187763176156347, -77.02292044867694 -12.187763176156347, -77.02751570886294 -12.195542779136803, -77.02292044867694 -12.203322382117259, -77.01372992830493 -12.203322382117259, -77.00913466811893 -12.195542779136803))"
zona_088,"POLYGON((-76.9953457790973 -12.20332238211726, -76.99994117418008 -12.195542779136805, -77.0091319643456 -12.195542779136805, -77.01372735942837 -12.20332238211726, -77.0091319643456 -12.211101985097716, -76.99994117418008 -12.211101985097716, -76.9953457790973 -12.20332238211726))"
zona_089,"POLYGON((-76.98155742966274 -12.195542779136803, -76.98615268984874 -12.187763176156347, -76.99534321022075 -12.187763176156347, -76.99993847040675 -12.195542779136803, -76.99534321022075 -12.203322382117259, -76.98615268984874 -12.203322382117259, -76.98155742966274 -12.195542779136803))"
zona_090,"POLYGON((-76.96776854064112 -12.20332238211726, -76.97236393572389 -12.195542779136805, -76.98155472588941 -12.195542779136805, -76.98615012097218 -12.20332238211726, -76.98155472588941 -12.211101985097716, -76.97236393572389 -12.211101985097716, -76.96776854064112 -12.20332238211726))"
zona_091,"POLYGON((-76.95398019120655 -12.195542779136803, -76.95857545139255 -12.187763176156347, -76.96776597176456 -12.187763176156347, -76.97236123195056 -12.195542779136803, -76.96776597176456 -12.203322382117259, -76.95857545139255 -12.203322382117259, -76.95398019120655 -12.195542779136803))"
zona_092,"POLYGON((-76.94019130218493 -12.20332238211726, -76.9447866972677 -12.195542779136805, -76.95397748743322 -12.195542779136805, -76.958572882516 -12.20332238211726, -76.95397748743322 -12.211101985097716, -76.9447866972677 -12.211101985097716, -76.94019130218493 -12.20332238211726))"
zona_093,"POLYGON((-76.92640295275037 -12.195542779136803, -76.93099821293636 -12.187763176156347, -76.94018873330837 -12.187763176156347, -76.94478399349437 -12.195542779136803, -76.94018873330837 -12.203322382117259, -76.93099821293636 -12.203322382117259, -76.92640295275037 -12.195542779136803))"
zona_094,"POLYGON((-76.91261406372874 -12.20332238211726, -76.91720945881151 -12.195542779136805, -76.92640024897703 -12.195542779136805, -76.9309956440598 -12.20332238211726, -76.92640024897703 -12.211101985097716, -76.91720945881151 -12.211101985097716, -76.91261406372874 -12.20332238211726))"
zona_095,"POLYGON((-76.89882571429416 -12.195542779136803, -76.90342097448016 -12.187763176156347, -76.91261149485217 -12.187763176156347, -76.91720675503817 -12.195542779136803, -76.91261149485217 -12.203322382117259, -76.90342097448016 -12.203322382117259, -76.89882571429416 -12.195542779136803))"
zona_096,"POLYGON((-76.88503682527254 -12.20332238211726, -76.88963222035531 -12.195542779136805, -76.89882301052083 -12.195542779136805, -76.9034184056036 -12.20332238211726, -76.89882301052083 -12.211101985097716, -76.88963222035531 -12.211101985097716, -76.88503682527254 -12.20332238211726))"
zona_097,"POLYGON((-76.87124847583797 -12.195542779136803, -76.87584373602397 -12.187763176156347, -76.88503425639598 -12.187763176156347, -76.88962951658198 -12.195542779136803, -76.88503425639598 -12.203322382117259, -76.87584373602397 -12.203322382117259, -76.87124847583797 -12.195542779136803))"
zona_098,"POLYGON((-76.85745958681635 -12.20332238211726, -76.86205498189912 -12.195542779136805, -76.87124577206464 -12.195542779136805, -76.87584116714741 -12.20332238211726, -76.87124577206464 -12.211101985097716, -76.86205498189912 -12.211101985097716, -76.85745958681635 -12.20332238211726))"
zona_099,"POLYGON((-76.84367123738178 -12.195542779136803, -76.84826649756778 -12.187763176156347, -76.8574570179398 -12.187763176156347, -76.86205227812579 -12.195542779136803, -76.8574570179398 -12.203322382117259, -76.84826649756778 -12.203322382117259, -76.84367123738178 -12.195542779136803))"
zona_100,"POLYGON((-76.82988234836016 -12.20332238211726, -76.83447774344293 -12.195542779136805, -76.84366853360845 -12.195542779136805, -76.84826392869122 -12.20332238211726, -76.84366853360845 -12.211101985097716, -76.83447774344293 -12.211101985097716, -76.82988234836016 -12.20332238211726))"
zona_101,"POLYGON((-77.16080974923625 -12.187763176156347, -77.16540487461813 -12.17998357317589, -77.17459512538187 -12.17998357317589, -77.17919025076375 -12.187763176156347, -77.17459512538187 -12.195542779136803, -77.16540487461813 -12.195542779136803, -77.16080974923625 -12.187763176156347))"
