hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi
zona_000001,"POLYGON ((-71.81531746877637 -16.42, -71.81765873438817 -16.416110198509774, -71.82234126561181 -16.416110198509774, -71.82468253122362 -16.42, -71.82234126561181 -16.42388980149023, -71.81765873438817 -16.42388980149023, -71.81531746877637 -16.42))",-16.42,-71.82,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000002,"POLYGON ((-71.80829376561083 -16.416110198509774, -71.81063498438769 -16.412220397019546, -71.81531742194142 -16.412220397019546, -71.81765864071828 -16.416110198509774, -71.81531742194142 -16.42, -71.81063498438769 -16.42, -71.80829376561083 -16.416110198509774))",-16.416110198509774,-71.81297620316455,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000003,"POLYGON ((-71.8012698751055 -16.42, -71.80361114071731 -16.416110198509774, -71.80829367194094 -16.416110198509774, -71.81063493755275 -16.42, -71.80829367194094 -16.42388980149023, -71.80361114071731 -16.42388980149023, -71.8012698751055 -16.42))",-16.42,-71.80595240632913,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000004,"POLYGON ((-71.79424617193996 -16.416110198509774, -71.79658739071682 -16.412220397019546, -71.80126982827055 -16.412220397019546, -71.80361104704741 -16.416110198509774, -71.80126982827055 -16.42, -71.79658739071682 -16.42, -71.79424617193996 -16.416110198509774))",-16.416110198509774,-71.79892860949369,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000005,"POLYGON ((-71.78722228143464 -16.42, -71.78956354704644 -16.416110198509774, -71.79424607827008 -16.416110198509774, -71.79658734388188 -16.42, -71.79424607827008 -16.42388980149023, -71.78956354704644 -16.42388980149023, -71.78722228143464 -16.42))",-16.42,-71.79190481265826,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000006,"POLYGON ((-71.7801985782691 -16.416110198509774, -71.78253979704596 -16.412220397019546, -71.78722223459968 -16.412220397019546, -71.78956345337654 -16.416110198509774, -71.78722223459968 -16.42, -71.78253979704596 -16.42, -71.7801985782691 -16.416110198509774))",-16.416110198509774,-71.78488101582282,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000007,"POLYGON ((-71.77317468776376 -16.42, -71.77551595337556 -16.416110198509774, -71.7801984845992 -16.416110198509774, -71.782539750211 -16.42, -71.7801984845992 -16.42388980149023, -71.77551595337556 -16.42388980149023, -71.77317468776376 -16.42))",-16.42,-71.77785721898738,AREQUIPA,AREQUIPA,LA JOYA,True,0,0
zona_000008,"POLYGON ((-71.76615098459823 -16.416110198509774, -71.76849220337509 -16.412220397019546, -71.77317464092881 -16.412220397019546, -71.77551585970568 -16.416110198509774, -71.77317464092881 -16.42, -71.76849220337509 -16.42, -71.76615098459823 -16.416110198509774))",-16.416110198509774,-71.77083342215195,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000009,"POLYGON ((-71.75912709409289 -16.42, -71.7614683597047 -16.416110198509774, -71.76615089092833 -16.416110198509774, -71.76849215654013 -16.42, -71.76615089092833 -16.42388980149023, -71.7614683597047 -16.42388980149023, -71.75912709409289 -16.42))",-16.42,-71.76380962531651,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000010,"POLYGON ((-71.75210339092736 -16.416110198509774, -71.75444460970422 -16.412220397019546, -71.75912704725795 -16.412220397019546, -71.76146826603481 -16.416110198509774, -71.75912704725795 -16.42, -71.75444460970422 -16.42, -71.75210339092736 -16.416110198509774))",-16.416110198509774,-71.75678582848109,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000011,"POLYGON ((-71.74507950042202 -16.42, -71.74742076603383 -16.416110198509774, -71.75210329725746 -16.416110198509774, -71.75444456286927 -16.42, -71.75210329725746 -16.42388980149023, -71.74742076603383 -16.42388980149023, -71.74507950042202 -16.42))",-16.42,-71.74976203164564,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000012,"POLYGON ((-71.73805579725648 -16.416110198509774, -71.74039701603334 -16.412220397019546, -71.74507945358707 -16.412220397019546, -71.74742067236393 -16.416110198509774, -71.74507945358707 -16.42, -71.74039701603334 -16.42, -71.73805579725648 -16.416110198509774))",-16.416110198509774,-71.7427382348102,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000013,"POLYGON ((-71.73103190675116 -16.42, -71.73337317236296 -16.416110198509774, -71.7380557035866 -16.416110198509774, -71.7403969691984 -16.42, -71.7380557035866 -16.42388980149023, -71.73337317236296 -16.42388980149023, -71.73103190675116 -16.42))",-16.42,-71.73571443797478,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000014,"POLYGON ((-71.72400820358561 -16.416110198509774, -71.72634942236247 -16.412220397019546, -71.7310318599162 -16.412220397019546, -71.73337307869306 -16.416110198509774, -71.7310318599162 -16.42, -71.72634942236247 -16.42, -71.72400820358561 -16.416110198509774))",-16.416110198509774,-71.72869064113934,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000015,"POLYGON ((-71.71698431308027 -16.42, -71.71932557869208 -16.416110198509774, -71.72400810991572 -16.416110198509774, -71.72634937552752 -16.42, -71.72400810991572 -16.42388980149023, -71.71932557869208 -16.42388980149023, -71.71698431308027 -16.42))",-16.42,-71.7216668443039,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000016,"POLYGON ((-71.70996060991475 -16.416110198509774, -71.71230182869161 -16.412220397019546, -71.71698426624533 -16.412220397019546, -71.7193254850222 -16.416110198509774, -71.71698426624533 -16.42, -71.71230182869161 -16.42, -71.70996060991475 -16.416110198509774))",-16.416110198509774,-71.71464304746847,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
zona_000017,"POLYGON ((-71.70293671940941 -16.42, -71.70527798502121 -16.416110198509774, -71.70996051624485 -16.416110198509774, -71.71230178185665 -16.42, -71.70996051624485 -16.42388980149023, -71.70527798502121 -16.42388980149023, -71.70293671940941 -16.42))",-16.42,-71.70761925063303,AREQUIPA,AREQUIPA,UCHUMAYO,True,0,0
