hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi
zona_000443,"POLYGON ((-71.3110707478392 -16.737713895684017, -71.31576101564502 -16.72993429270356, -71.3251415512567 -16.72993429270356, -71.32983181906253 -16.737713895684017, -71.3251415512567 -16.745493498664473, -71.31576101564502 -16.745493498664473, -71.3110707478392 -16.737713895684017))",-16.737713895684017,-71.32045128345086,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000454,"POLYGON ((-71.50834692713588 -16.722154689723105, -71.51303681210773 -16.71437508674265, -71.5224165820514 -16.71437508674265, -71.52710646702326 -16.722154689723105, -71.5224165820514 -16.72993429270356, -71.51303681210773 -16.72993429270356, -71.50834692713588 -16.722154689723105))",-16.722154689723105,-71.51772669707957,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000455,"POLYGON ((-71.4942554434305 -16.72993429270356, -71.4989455197683 -16.722154689723105, -71.50832567244389 -16.722154689723105, -71.51301574878168 -16.72993429270356, -71.50832567244389 -16.737713895684017, -71.4989455197683 -16.737713895684017, -71.4942554434305 -16.72993429270356))",-16.72993429270356,-71.5036355961061,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000456,"POLYGON ((-71.48016472518891 -16.722154689723105, -71.48485461016077 -16.71437508674265, -71.49423438010444 -16.71437508674265, -71.4989242650763 -16.722154689723105, -71.49423438010444 -16.72993429270356, -71.48485461016077 -16.72993429270356, -71.48016472518891 -16.722154689723105))",-16.722154689723105,-71.4895444951326,AREQUIPA,AREQUIPA,YARABAMBA,True,0,0
zona_000457,"POLYGON ((-71.46607324148354 -16.72993429270356, -71.47076331782134 -16.722154689723105, -71.48014347049693 -16.722154689723105, -71.48483354683472 -16.72993429270356, -71.48014347049693 -16.737713895684017, -71.47076331782134 -16.737713895684017, -71.46607324148354 -16.72993429270356))",-16.72993429270356,-71.47545339415913,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000458,"POLYGON ((-71.45198252324197 -16.722154689723105, -71.45667240821382 -16.71437508674265, -71.4660521781575 -16.71437508674265, -71.47074206312935 -16.722154689723105, -71.4660521781575 -16.72993429270356, -71.45667240821382 -16.72993429270356, -71.45198252324197 -16.722154689723105))",-16.722154689723105,-71.46136229318566,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000459,"POLYGON ((-71.43789103953658 -16.72993429270356, -71.44258111587438 -16.722154689723105, -71.45196126854997 -16.722154689723105, -71.45665134488776 -16.72993429270356, -71.45196126854997 -16.737713895684017, -71.44258111587438 -16.737713895684017, -71.43789103953658 -16.72993429270356))",-16.72993429270356,-71.44727119221217,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000460,"POLYGON ((-71.423800321295 -16.722154689723105, -71.42849020626686 -16.71437508674265, -71.43786997621054 -16.71437508674265, -71.44255986118239 -16.722154689723105, -71.43786997621054 -16.72993429270356, -71.42849020626686 -16.72993429270356, -71.423800321295 -16.722154689723105))",-16.722154689723105,-71.4331800912387,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000461,"POLYGON ((-71.40970883758963 -16.72993429270356, -71.41439891392743 -16.722154689723105, -71.42377906660302 -16.722154689723105, -71.42846914294081 -16.72993429270356, -71.42377906660302 -16.737713895684017, -71.41439891392743 -16.737713895684017, -71.40970883758963 -16.72993429270356))",-16.72993429270356,-71.41908899026522,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
zona_000462,"POLYGON ((-71.39561811934804 -16.722154689723105, -71.4003080043199 -16.71437508674265, -71.40968777426357 -16.71437508674265, -71.41437765923543 -16.722154689723105, -71.40968777426357 -16.72993429270356, -71.4003080043199 -16.72993429270356, -71.39561811934804 -16.722154689723105))",-16.722154689723105,-71.40499788929174,AREQUIPA,AREQUIPA,POLOBAYA,True,0,0
