zone_name,geometry,ccdd,nombdep,ccpp,nombprov,ccdi,nombdist,capital,ubigeo,idprov,codigo,cnt_ccpp,descripcio,poblacion,fecha,dat_pob,pobreza,internet_access,edad,tam,rmapshaperid
zona_023,"POLYGON ((-12.25 -76.85745796416315, -12.242220397019544 -76.86205417057252, -12.242220397019544 -76.87124658339124, -12.25 -76.87584278980061, -12.257779602980456 -76.87124658339124, -12.257779602980456 -76.86205417057252, -12.25 -76.85745796416315))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
zona_024,"POLYGON ((-12.242220397019544 -76.84366961584072, -12.234440794039088 -76.84826568679726, -12.234440794039088 -76.85745782871031, -12.242220397019544 -76.86205389966685, -12.25 -76.85745782871031, -12.25 -76.84826568679726, -12.242220397019544 -76.84366961584072))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
zona_024,"POLYGON ((-12.242220397019544 -76.84366961584072, -12.234440794039088 -76.84826568679726, -12.234440794039088 -76.85745782871031, -12.242220397019544 -76.86205389966685, -12.25 -76.85745782871031, -12.25 -76.84826568679726, -12.242220397019544 -76.84366961584072))",15,LIMA,1,LIMA,23,PACHACAMAC,PACHACAMAC,150123,1501,150123,14,PACHACAMAC,123627,2020,INEI,20.0,80.2,80.0,63456,919
zona_025,"POLYGON ((-12.25 -76.82988072570696, -12.242220397019544 -76.83447693211633, -12.242220397019544 -76.84366934493505, -12.25 -76.84826555134443, -12.257779602980456 -76.84366934493505, -12.257779602980456 -76.83447693211633, -12.25 -76.82988072570696))",15,LIMA,1,LIMA,19,LURIN,LURIN,150119,1501,150119,4,LURIN,99846,2020,INEI,18.3,80.2,80.0,52338,1507
zona_039,"POLYGON ((-12.22666119105863 -76.98155634937679, -12.218881588078174 -76.98615214970577, -12.218881588078174 -76.99534375036372, -12.22666119105863 -76.9999395506927, -12.234440794039086 -76.99534375036372, -12.234440794039086 -76.98615214970577, -12.22666119105863 -76.98155634937679))",15,LIMA,1,LIMA,8,CHORRILLOS,CHORRILLOS,150108,1501,150108,1,CHORRILLOS,356549,2020,INEI,11.6,80.2,80.0,202226,1793
zona_040,"POLYGON ((-12.234440794039086 -76.96776745961384, -12.22666119105863 -76.97236339521025, -12.22666119105863 -76.98155526640305, -12.234440794039086 -76.98615120199946, -12.242220397019542 -76.98155526640305, -12.242220397019542 -76.97236339521025, -12.234440794039086 -76.96776745961384))",15,LIMA,1,LIMA,8,CHORRILLOS,CHORRILLOS,150108,1501,150108,1,CHORRILLOS,356549,2020,INEI,11.6,80.2,80.0,202226,1793
zona_040,"POLYGON ((-12.234440794039086 -76.96776745961384, -12.22666119105863 -76.97236339521025, -12.22666119105863 -76.98155526640305, -12.234440794039086 -76.98615120199946, -12.242220397019542 -76.98155526640305, -12.242220397019542 -76.97236339521025, -12.234440794039086 -76.96776745961384))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_041,"POLYGON ((-12.22666119105863 -76.9539791109206, -12.218881588078174 -76.95857491124958, -12.218881588078174 -76.96776651190753, -12.22666119105863 -76.97236231223651, -12.234440794039086 -76.96776651190753, -12.234440794039086 -76.95857491124958, -12.22666119105863 -76.9539791109206))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_042,"POLYGON ((-12.234440794039086 -76.94019022115765, -12.22666119105863 -76.94478615675406, -12.22666119105863 -76.95397802794686, -12.234440794039086 -76.95857396354327, -12.242220397019542 -76.95397802794686, -12.242220397019542 -76.94478615675406, -12.234440794039086 -76.94019022115765))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_043,"POLYGON ((-12.22666119105863 -76.92640187246441, -12.218881588078174 -76.9309976727934, -12.218881588078174 -76.94018927345134, -12.22666119105863 -76.94478507378032, -12.234440794039086 -76.94018927345134, -12.234440794039086 -76.9309976727934, -12.22666119105863 -76.92640187246441))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
zona_044,"POLYGON ((-12.234440794039086 -76.91261298270146, -12.22666119105863 -76.91720891829787, -12.22666119105863 -76.92640078949067, -12.234440794039086 -76.93099672508708, -12.242220397019542 -76.92640078949067, -12.242220397019542 -76.91720891829787, -12.234440794039086 -76.91261298270146))",15,LIMA,1,LIMA,42,VILLA EL SALVADOR,VILLA EL SALVADOR,150142,1501,150142,1,VILLA EL SALVADOR,429509,2020,INEI,20.15,80.2,80.0,220046,227
