hexagono_id,hexagono_shape,centroid_lat,centroid_lon,nombdep,nombprov,nombdist,has_coverage,city,zone_rappi,coverage_messages,timestamp
zona_000001,"POLYGON ((-78.54075463488233 -7.21106, -78.54301831744117 -7.207170198509772, -78.54754568255883 -7.207170198509772, -78.54980936511767 -7.21106, -78.54754568255883 -7.214949801490228, -78.54301831744117 -7.214949801490228, -78.54075463488233 -7.21106))",-7.21106,-78.545282,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000002,"POLYGON ((-78.53396362608422 -7.207170198509772, -78.53622728920385 -7.203280397019544, -78.54075461544315 -7.203280397019544, -78.54301827856278 -7.207170198509772, -78.54075461544315 -7.21106, -78.53622728920385 -7.21106, -78.53396362608422 -7.207170198509772))",-7.207170198509772,-78.5384909523235,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000003,"POLYGON ((-78.52717253952933 -7.21106, -78.52943622208817 -7.207170198509772, -78.53396358720583 -7.207170198509772, -78.53622726976467 -7.21106, -78.53396358720583 -7.214949801490228, -78.52943622208817 -7.214949801490228, -78.52717253952933 -7.21106))",-7.21106,-78.531699904647,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000004,"POLYGON ((-78.52038153073121 -7.207170198509772, -78.52264519385085 -7.203280397019544, -78.52717252009015 -7.203280397019544, -78.52943618320978 -7.207170198509772, -78.52717252009015 -7.21106, -78.52264519385085 -7.21106, -78.52038153073121 -7.207170198509772))",-7.207170198509772,-78.5249088569705,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000005,"POLYGON ((-78.51359044417633 -7.21106, -78.51585412673516 -7.207170198509772, -78.52038149185283 -7.207170198509772, -78.52264517441166 -7.21106, -78.52038149185283 -7.214949801490228, -78.51585412673516 -7.214949801490228, -78.51359044417633 -7.21106))",-7.21106,-78.518117809294,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000006,"POLYGON ((-78.50679943537821 -7.207170198509772, -78.50906309849785 -7.203280397019544, -78.51359042473715 -7.203280397019544, -78.51585408785678 -7.207170198509772, -78.51359042473715 -7.21106, -78.50906309849785 -7.21106, -78.50679943537821 -7.207170198509772))",-7.207170198509772,-78.5113267616175,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000007,"POLYGON ((-78.50000834882333 -7.21106, -78.50227203138216 -7.207170198509772, -78.50679939649983 -7.207170198509772, -78.50906307905866 -7.21106, -78.50679939649983 -7.214949801490228, -78.50227203138216 -7.214949801490228, -78.50000834882333 -7.21106))",-7.21106,-78.504535713941,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000008,"POLYGON ((-78.49321734002521 -7.207170198509772, -78.49548100314485 -7.203280397019544, -78.50000832938414 -7.203280397019544, -78.50227199250378 -7.207170198509772, -78.50000832938414 -7.21106, -78.49548100314485 -7.21106, -78.49321734002521 -7.207170198509772))",-7.207170198509772,-78.4977446662645,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000009,"POLYGON ((-78.48642625347033 -7.21106, -78.48868993602916 -7.207170198509772, -78.49321730114683 -7.207170198509772, -78.49548098370566 -7.21106, -78.49321730114683 -7.214949801490228, -78.48868993602916 -7.214949801490228, -78.48642625347033 -7.21106))",-7.21106,-78.490953618588,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
zona_000010,"POLYGON ((-78.47963524467221 -7.207170198509772, -78.48189890779184 -7.203280397019544, -78.48642623403114 -7.203280397019544, -78.48868989715078 -7.207170198509772, -78.48642623403114 -7.21106, -78.48189890779184 -7.21106, -78.47963524467221 -7.207170198509772))",-7.207170198509772,-78.4841625709115,CAJAMARCA,CAJAMARCA,CAJAMARCA,True,0,0,Microzona invalida,2025-04-23 11:11:44.987528
